,Vmag,Plx,e_Plx,B-V,SpType,TargetClass
56,8.34,6.18,0.83,0.386,330,1
57,8.86,5.6,1.11,1.081,738,0
58,8.27,5.28,1.15,0.994,575,0
59,6.36,4.81,0.71,-0.047,276,1
60,8.08,3.45,0.94,1.156,698,0
61,8.55,8.18,0.88,0.401,333,1
62,7.83,7.48,0.93,0.495,366,0
63,8.79,31.8,1.17,0.94,609,0
64,8.33,6.35,1.12,0.135,2,0
65,8.26,9.13,1.84,0.846,507,0
66,8.97,10.63,1.25,0.671,492,0
67,6.9,3.97,0.69,1.446,685,0
68,9.93,24.22,1.36,1.068,738,0
69,7.42,1.6,0.79,1.524,735,0
70,9.03,2.29,1.19,1.67,771,0
71,8.41,3.53,1.12,0.022,15,1
72,8.06,1.17,0.96,1.203,609,0
73,8.69,4.57,0.99,0.529,366,0
74,8.4,15.59,1.43,0.566,479,1
75,8.57,23.44,1.28,0.642,507,1
76,9.5,1.82,1.37,1.107,507,0
77,8.85,2.28,1.3,1.726,771,0
78,9.61,18.9,1.33,0.852,609,0
79,10.62,3.9,2.06,0.359,39,1
80,8.05,3.47,0.78,0.018,253,1
81,7.8,4.52,1.08,0.43,366,0
82,5.71,5.97,0.7,0.911,575,0
83,7.87,2.6,0.96,1.566,685,0
84,7.64,9.35,0.92,0.5,378,0
85,7.66,4.21,1.23,1.3,609,0
86,8.68,4.77,1.44,0.944,575,0
87,8.12,16.73,1.28,0.619,431,0
88,10.1,10.48,1.48,0.644,468,0
89,8.67,7.85,1.17,0.513,382,0
90,10.46,19.83,5.16,1.36,771,0
91,9.87,6.49,1.44,0.551,390,0
92,9.48,5.52,1.74,0.53,382,1
93,7.04,1.27,0.7,2.836,285,1
94,8.44,4.49,1.08,0.898,445,1
95,9.88,7.35,1.74,0.509,378,0
96,7.05,3.0,0.82,1.55,784,0
97,8.29,9.15,0.76,0.538,398,1
98,9.34,8.16,1.21,0.543,416,0
99,7.73,4.44,0.75,0.455,292,1
100,6.22,4.5,0.73,0.97,558,0
101,5.53,5.84,0.61,1.615,798,0
102,8.53,0.3,0.86,1.315,718,0
103,7.23,5.33,0.94,0.388,292,1
104,8.61,20.42,1.91,0.787,507,1
105,11.28,27.11,2.33,1.308,791,0
106,10.76,31.34,4.17,1.384,781,0
107,8.93,0.27,1.09,0.021,2,0
108,7.95,9.93,1.95,0.654,451,0
109,7.46,4.73,0.67,0.16,45,1
110,8.6,8.29,0.97,0.435,354,1
111,8.55,0.36,0.87,1.093,575,0
112,9.2,12.08,1.33,0.606,445,1
113,6.82,7.49,0.83,1.071,609,0
114,8.29,2.83,1.09,1.183,675,0
115,6.83,3.66,0.83,1.197,698,0
116,4.78,14.77,0.47,1.254,698,0
117,7.21,5.07,0.7,1.169,609,0
118,5.58,0.86,0.56,0.407,301,1
119,8.7,5.08,1.06,0.366,333,0
120,8.06,2.94,0.95,0.969,507,0
121,6.5,15.2,0.63,0.182,140,1
122,9.32,6.6,1.3,0.559,420,0
123,9.14,2.93,1.38,1.08,633,0
124,8.13,8.11,0.83,0.2,75,1
125,10.62,1.89,1.91,0.358,292,1
126,6.62,3.51,0.79,0.545,376,0
127,9.96,1.3,1.71,0.264,2,0
128,8.64,20.1,1.22,0.62,507,1
129,6.6,5.84,0.78,1.153,699,0
130,6.25,2.45,0.69,-0.042,264,1
131,7.83,6.34,1.89,1.074,618,0
132,10.03,1.62,1.45,1.289,147,0
133,9.04,8.98,0.93,0.546,416,0
134,8.47,5.61,1.1,1.35,738,0
135,7.33,16.05,0.69,0.73,609,0
136,8.66,3.57,0.75,1.364,738,0
137,10.35,20.05,1.64,1.033,712,0
138,5.13,7.98,0.71,-0.128,232,1
139,8.96,4.39,1.29,0.306,137,1
140,8.49,-0.13,1.19,1.569,738,0
141,11.26,22.92,2.17,0.932,712,0
142,8.15,4.22,0.96,0.584,420,0
143,7.04,7.5,0.84,1.06,668,0
144,10.02,5.1,1.42,0.456,366,0
145,8.9,5.54,1.23,0.459,420,0
146,7.78,7.56,1.37,0.411,351,1
147,4.37,7.86,0.94,1.631,811,0
148,9.93,2.28,1.39,0.283,39,1
149,8.6,3.09,0.84,0.1,251,1
150,8.51,6.87,1.28,0.903,507,0
151,7.09,7.03,0.89,0.999,633,0
152,6.93,16.92,0.81,0.292,55,1
153,8.68,2.07,0.8,-0.052,272,1
154,8.98,2.38,1.09,1.5,738,0
155,9.84,2.71,1.33,0.696,445,1
156,8.98,2.92,1.26,0.107,65,1
157,7.98,4.41,0.82,0.97,596,0
158,10.16,-0.59,1.74,0.45,143,0
159,8.86,9.46,1.18,0.66,500,0
160,8.58,3.5,0.9,0.06,253,1
161,9.56,1.95,1.34,1.113,856,0
162,9.24,63.03,1.98,1.39,777,0
163,9.63,5.96,2.02,0.509,382,1
164,5.8,80.6,3.03,0.69,500,1
165,9.05,1.27,1.11,0.976,849,0
166,8.45,1.31,1.03,0.248,39,1
167,8.86,3.89,1.83,1.035,595,0
168,7.84,3.98,0.87,0.923,507,0
169,8.86,3.82,1.07,0.53,609,0
170,8.93,5.47,1.25,0.172,35,0
171,7.97,9.02,2.5,0.556,416,0
172,6.9,14.91,0.9,0.534,455,0
173,8.47,2.8,1.12,1.171,609,0
174,6.77,2.51,0.64,1.832,771,0
175,8.55,3.32,1.16,1.004,609,0
176,5.04,6.4,0.87,-0.15,208,1
177,8.48,29.75,1.21,0.888,609,0
178,8.53,11.74,1.8,0.53,420,0
179,6.33,7.55,0.82,0.182,99,0
180,8.99,6.69,1.38,0.5,445,1
181,8.64,10.49,1.23,0.488,366,0
182,9.55,2.49,1.41,0.237,55,1
183,8.74,10.47,1.17,0.57,445,1
184,12.43,22.98,4.38,1.49,808,0
185,8.16,3.31,1.11,1.032,507,0
186,9.46,4.77,1.47,0.944,561,0
187,5.7,26.53,0.77,0.315,310,1
188,7.62,8.08,1.0,0.517,420,0
189,8.95,0.98,1.18,1.677,738,0
190,8.97,1.62,1.16,0.952,609,0
191,8.94,5.12,1.11,0.276,2,0
192,7.24,4.07,0.88,0.074,2,0
193,10.32,3.17,1.67,0.323,317,1
194,8.24,10.06,0.99,0.474,366,0
195,8.62,2.6,1.1,0.303,292,1
196,9.18,2.16,1.59,0.981,633,0
197,8.53,2.53,1.0,1.274,719,0
198,8.54,8.84,1.25,0.384,317,1
199,8.56,9.32,1.02,0.436,445,1
200,9.41,2.46,1.07,0.967,538,0
201,5.87,1.57,1.67,1.073,575,0
202,7.2,-0.69,9.62,0.085,47,1
203,9.05,7.65,1.93,0.47,445,1
204,9.52,3.88,1.36,0.832,560,0
205,7.7,7.8,0.95,1.003,507,0
206,8.17,3.36,0.99,0.29,55,1
207,7.29,2.73,0.63,0.118,2,0
208,9.26,3.49,0.94,1.8,791,0
209,7.94,3.21,0.89,0.016,2,0
210,8.42,4.14,1.05,1.005,575,0
211,8.56,10.78,1.28,0.602,420,0
212,7.52,6.27,0.81,0.18,2,0
213,7.74,7.68,1.11,0.483,317,1
214,8.85,2.62,1.16,1.113,668,0
215,9.01,1.25,1.47,1.01,609,0
216,7.17,21.58,1.65,0.617,445,1
217,9.04,7.23,1.56,0.489,344,1
218,10.3,0.63,1.67,0.254,297,1
219,7.64,9.53,0.87,0.532,420,0
220,8.27,2.16,2.57,0.128,2,0
221,8.44,8.62,1.31,0.423,317,1
222,9.58,4.59,1.21,0.5,388,0
223,8.43,5.18,1.11,0.007,15,1
224,8.49,2.5,1.03,1.18,609,0
225,9.64,2.91,1.08,0.31,238,1
226,9.17,2.6,1.31,1.222,609,0
227,8.09,2.96,1.08,1.26,609,0
228,9.0,6.32,1.32,0.903,586,0
229,6.25,16.16,0.96,0.526,390,0
230,8.56,4.77,1.27,0.521,366,0
231,10.81,3.36,2.03,0.565,420,0
232,8.76,2.37,1.28,1.01,609,0
233,7.76,7.41,0.93,0.967,586,0
234,7.82,4.11,0.8,1.041,633,0
235,7.9,3.49,0.74,0.668,420,0
236,8.52,3.31,1.13,1.036,507,0
237,9.73,18.3,1.56,0.99,712,0
238,9.19,6.08,1.68,0.346,292,1
239,8.1,9.03,1.17,0.342,292,1
240,8.75,13.24,1.03,0.552,420,0
241,8.14,5.19,1.99,0.88,609,0
242,8.65,-0.53,1.21,1.349,698,0
243,10.3,-0.95,2.86,1.082,611,0
244,6.46,6.78,0.88,1.176,668,0
245,6.73,5.96,0.76,0.051,39,1
246,7.96,11.84,1.16,0.421,324,1
247,9.53,4.73,1.44,0.461,292,1
248,8.87,3.15,1.18,0.081,15,1
249,6.59,6.28,0.78,1.122,609,0
250,8.65,0.54,1.23,1.455,771,0
251,9.64,6.1,1.44,0.432,333,0
252,9.15,8.21,2.41,0.424,354,1
253,9.04,4.31,1.25,0.422,310,1
254,12.04,32.94,3.49,1.473,780,0
255,8.42,3.69,0.9,1.174,609,0
256,8.09,3.38,1.13,1.125,674,0
257,9.06,1.06,0.94,1.688,747,0
258,8.09,11.66,1.42,0.455,317,1
259,8.18,0.24,1.01,1.462,738,0
260,8.77,3.82,1.02,1.125,507,0
261,7.36,4.7,0.63,0.146,39,1
262,9.16,4.81,1.11,0.232,44,1
263,8.82,1.39,1.31,0.979,561,0
264,11.14,1.86,2.09,0.041,15,1
265,6.24,0.93,0.57,0.332,201,0
266,9.44,5.68,4.61,0.439,354,1
267,7.49,15.55,0.95,0.636,445,1
268,6.96,15.84,0.81,0.353,333,1
269,7.94,2.79,0.95,-0.023,191,0
270,8.69,0.81,0.87,0.12,251,1
271,8.15,4.83,0.97,0.134,39,1
272,8.45,2.88,1.1,1.655,771,0
273,7.92,1.62,0.97,1.408,609,0
274,7.45,4.99,0.99,0.353,80,1
275,9.01,2.11,1.04,0.956,575,0
276,8.55,1.38,1.06,1.212,679,0
277,9.23,0.11,0.93,1.006,609,0
278,9.16,1.19,1.4,1.538,738,0
279,7.9,5.49,0.97,1.071,609,0
280,8.68,3.48,1.17,1.011,633,0
281,7.78,15.26,1.03,0.563,424,0
282,8.21,1.46,1.04,-0.123,143,0
283,8.11,2.92,0.79,-0.019,2,0
284,8.29,13.14,0.97,0.488,398,1
285,7.89,8.63,1.11,0.401,292,1
286,9.67,2.83,1.45,0.397,310,1
287,8.24,25.3,1.11,0.78,591,0
288,6.8,6.42,0.75,0.06,39,1
289,8.18,2.81,1.03,1.015,609,0
290,8.44,9.67,0.86,0.508,382,0
291,4.55,14.31,0.92,-0.047,270,1
292,7.45,6.04,0.85,0.244,55,1
293,6.31,3.31,0.6,1.629,815,0
294,8.15,5.15,0.98,0.316,140,0
295,8.27,6.16,1.0,0.136,39,1
296,7.66,20.44,0.96,0.741,526,1
297,8.59,14.36,2.44,0.616,479,0
298,11.55,16.27,2.71,1.26,771,0
299,7.09,13.9,0.84,0.303,292,1
300,8.54,4.59,1.04,0.23,106,1
301,9.58,12.24,1.44,0.7,530,1
302,8.44,6.36,0.9,0.456,292,1
303,8.59,-0.56,0.85,0.36,159,0
304,8.01,10.62,1.46,0.406,344,1
305,8.29,5.58,1.02,0.54,445,1
306,9.62,6.67,0.97,0.657,431,0
307,7.26,5.48,1.25,0.355,292,1
308,7.91,5.53,0.62,0.314,303,1
309,9.45,2.07,1.37,1.115,565,0
310,8.19,1.2,0.84,0.26,851,0
311,8.93,9.88,1.18,0.607,473,1
312,7.65,3.93,0.97,0.992,586,0
313,8.53,8.18,1.0,0.491,366,0
314,7.38,6.15,0.89,1.003,609,0
315,8.56,14.48,1.07,0.615,420,0
316,8.76,0.82,1.22,1.692,771,0
317,9.56,2.04,1.28,0.39,39,1
318,7.09,4.24,0.92,-0.085,251,1
319,9.83,9.2,1.5,0.699,507,0
320,5.9,0.89,0.58,0.274,25,1
321,10.8,1.88,2.21,0.882,606,0
322,8.41,6.58,0.94,0.563,398,1
323,9.05,5.54,1.44,0.16,24,1
324,8.79,0.07,0.98,0.08,147,0
325,8.88,5.57,1.09,0.253,2,0
326,7.59,1.47,0.77,1.68,738,0
327,9.6,11.87,1.49,0.75,507,0
328,10.66,-1.21,1.79,1.45,145,0
329,8.55,4.12,0.84,0.037,30,1
330,8.11,14.91,1.01,0.484,398,1
331,9.44,0.58,1.57,1.069,586,0
332,9.6,7.92,1.55,0.549,455,0
333,5.78,11.29,0.92,1.084,633,0
334,10.66,6.82,2.4,1.5,828,0
335,6.38,7.75,0.91,0.006,30,1
336,8.8,5.27,1.12,1.031,668,0
337,7.79,2.46,0.85,-0.089,204,0
338,8.6,16.8,1.13,0.64,507,0
339,7.77,4.1,1.06,-0.058,240,1
340,9.8,22.52,1.48,0.855,651,0
341,9.22,3.01,1.4,1.001,609,0
342,4.99,2.03,0.93,1.619,726,0
343,8.43,9.89,1.1,0.611,445,1
344,7.33,10.92,0.64,0.444,333,1
345,8.93,0.95,0.79,1.025,575,0
346,9.09,17.1,0.88,0.639,488,0
347,9.26,4.67,0.93,1.162,685,0
348,8.73,3.4,0.93,1.036,633,0
349,9.18,-0.43,1.49,1.169,698,0
350,8.12,2.15,1.05,2.53,284,1
351,9.26,1.99,1.57,1.149,633,0
352,8.94,1.59,1.32,1.181,677,0
353,6.11,1.94,1.12,0.159,262,1
354,9.13,1.38,0.79,0.239,41,1
355,7.9,4.83,1.03,1.249,685,0
356,9.34,1.26,1.47,0.95,609,0
357,7.13,2.46,0.81,1.26,668,0
358,10.82,0.81,2.56,1.021,823,0
359,7.46,4.15,0.66,1.072,614,0
360,8.72,1.39,1.34,1.508,685,0
361,7.02,6.13,1.59,1.1,609,0
362,8.37,4.04,1.18,0.881,609,0
363,5.59,5.7,0.53,-0.1,242,1
364,7.37,11.46,0.84,0.422,376,0
365,5.68,10.3,0.58,1.051,668,0
366,8.56,7.35,1.12,0.792,507,0
367,8.72,2.46,1.14,-0.014,39,1
368,9.06,4.16,1.2,0.368,310,1
369,8.82,4.08,1.2,0.433,292,1
370,8.18,5.84,1.2,0.376,80,1
371,9.39,9.37,2.81,0.735,507,0
372,9.1,-0.59,1.02,0.652,182,1
373,8.46,1.61,0.92,0.556,317,1
374,9.15,5.46,1.38,0.394,55,1
375,8.28,5.65,1.16,0.002,8,1
376,8.18,6.95,1.91,0.43,445,1
377,7.93,10.47,1.53,0.478,366,0
378,9.21,3.05,1.34,0.964,609,0
379,6.09,27.19,4.3,0.632,479,1
380,8.31,3.15,1.1,0.036,9,1
381,7.83,2.91,0.97,1.256,698,0
382,8.72,3.73,1.1,0.082,2,0
383,6.61,2.13,0.82,0.025,204,0
384,6.25,5.34,0.77,1.368,736,0
385,7.82,39.06,0.93,0.755,600,0
386,8.66,3.49,1.2,1.614,738,0
387,8.15,6.02,0.81,0.475,366,0
388,8.97,11.56,1.31,0.674,500,0
389,8.15,1.55,1.04,1.201,685,0
390,7.47,14.53,1.21,0.55,431,0
391,8.63,1.67,1.1,1.57,771,0
392,8.13,22.1,0.71,0.71,530,1
393,8.23,4.41,1.1,0.986,596,0
394,8.41,8.49,0.77,0.461,382,0
395,6.47,7.63,0.76,0.946,571,0
396,9.83,-0.99,1.46,1.54,738,0
397,8.64,6.19,1.54,1.3,366,0
398,7.73,19.78,0.87,0.537,455,0
399,8.64,1.96,0.95,0.889,549,0
400,8.94,8.38,1.24,0.415,317,1
401,8.84,8.73,1.17,0.759,507,0
402,6.32,6.95,0.81,1.099,598,0
403,5.8,4.5,0.56,-0.067,250,1
404,8.97,5.12,1.34,0.86,568,0
405,7.53,23.9,0.85,0.577,455,1
406,7.41,2.53,0.69,1.288,609,0
407,7.8,5.43,1.9,0.437,292,1
408,8.14,14.25,0.83,0.593,455,0
409,6.71,6.66,0.75,0.068,31,1
410,8.73,1.42,1.2,1.124,668,0
411,9.37,6.64,8.01,0.51,292,1
412,8.69,11.12,1.22,0.644,507,0
413,9.95,87.0,1.41,1.472,791,0
414,7.1,6.27,0.87,1.128,668,0
415,8.09,2.45,0.9,0.496,366,0
416,6.88,10.35,0.81,0.174,39,1
417,9.48,-0.08,1.69,1.037,685,0
418,9.04,1.4,1.32,0.692,333,0
419,9.3,10.28,1.33,0.538,344,1
420,8.49,62.47,0.82,1.076,752,0
421,8.3,3.18,1.04,0.998,507,0
422,7.95,2.21,1.04,0.991,507,0
423,7.08,5.31,0.63,-0.006,253,1
424,6.93,4.29,0.83,0.94,581,0
425,8.38,4.33,1.15,-0.06,272,1
426,4.61,25.38,1.05,1.029,668,0
427,8.56,229.4,1.08,1.462,804,1
428,8.78,1.29,1.02,1.156,698,0
429,7.42,9.55,0.76,0.191,32,1
430,8.26,1.69,1.27,1.052,506,0
431,7.71,5.05,0.64,1.093,633,0
432,6.91,6.75,1.03,1.12,507,0
433,9.16,9.89,1.18,0.782,586,0
434,8.99,3.3,1.34,1.199,758,0
435,8.63,4.55,0.99,0.46,445,1
436,9.9,2.61,1.46,0.599,420,0
437,7.59,4.65,0.92,1.045,609,0
438,7.39,4.76,0.99,0.99,633,0
439,7.78,4.79,0.99,1.123,633,0
440,7.47,2.01,0.96,1.62,811,0
441,6.97,3.07,0.93,1.444,738,0
442,8.82,18.56,0.95,0.666,530,1
443,9.13,22.2,1.14,0.735,507,1
444,7.86,11.04,0.91,0.494,420,0
445,7.13,19.81,0.94,0.446,366,1
446,9.45,-1.03,1.35,0.995,581,0
447,12.04,0.75,22.3,0.501,2,0
448,8.78,3.94,1.45,1.249,685,0
449,7.23,3.52,0.83,1.174,609,0
450,9.73,6.89,1.46,0.725,530,0
451,7.36,4.25,0.72,0.993,633,0
452,7.36,2.3,0.82,1.444,713,0
453,8.47,0.47,0.94,-0.18,164,1
454,9.37,2.52,1.1,1.537,738,0
455,6.99,4.25,0.78,1.187,633,0
456,8.2,85.1,2.74,1.41,685,0
457,8.36,7.0,1.01,0.247,2,0
458,8.22,21.03,1.06,0.636,445,1
459,5.55,8.75,0.8,0.901,518,0
460,9.91,5.59,1.7,0.353,128,0
461,9.67,2.19,1.68,0.524,344,1
462,8.6,1.87,1.29,1.1,668,0
463,10.07,1.32,1.52,0.923,507,0
464,10.15,7.28,1.45,0.677,507,0
465,7.75,5.95,1.68,0.414,318,1
466,9.21,4.01,0.94,0.097,2,0
467,9.66,-0.26,1.41,0.787,530,0
468,8.47,2.62,1.01,0.045,2,0
469,9.37,6.18,1.34,0.507,398,1
470,9.44,11.21,1.34,0.617,445,1
471,9.99,7.92,1.61,0.646,514,0
472,7.51,24.84,0.92,0.595,455,1
473,8.91,2.92,1.19,1.19,609,0
474,7.45,26.23,0.82,0.596,420,0
475,9.57,6.5,1.46,0.51,445,1
476,8.99,12.99,0.94,0.585,431,0
477,8.58,25.77,2.07,0.92,611,0
478,6.9,5.31,0.73,1.564,738,0
479,7.55,7.05,1.15,0.3,55,1
480,7.93,4.26,0.91,0.239,55,1
481,9.71,0.87,1.53,0.915,589,0
482,9.57,1.54,1.37,1.812,782,0
483,8.55,4.19,1.14,1.357,719,0
484,6.62,2.9,0.77,1.531,745,0
485,7.89,3.07,1.01,0.93,507,0
486,7.51,5.66,0.82,1.112,670,0
487,7.36,0.08,0.65,0.126,848,0
488,8.66,1.33,1.08,-0.039,39,1
489,8.51,1.8,0.83,1.576,719,0
490,6.65,3.28,0.85,0.912,507,0
491,9.67,13.05,1.67,0.633,500,0
492,7.8,11.07,1.0,0.501,366,0
493,8.21,5.34,1.01,1.108,507,0
494,7.9,4.39,0.96,-0.03,272,1
495,8.94,2.09,1.2,1.0,609,0
496,9.82,5.66,1.65,0.418,333,0
497,8.69,7.38,1.55,0.509,420,0
498,8.57,-0.16,1.12,1.612,784,0
499,8.89,5.95,1.14,0.476,378,0
500,5.98,49.3,1.05,0.687,530,1
501,7.92,5.38,1.67,0.459,349,1
502,7.6,2.35,1.15,1.539,770,0
503,8.22,4.71,1.03,1.22,685,0
504,5.7,39.0,0.64,0.519,463,1
505,12.17,56.9,2.73,1.55,815,0
506,8.75,7.24,1.32,0.487,390,0
507,6.93,8.6,0.73,1.086,609,0
508,7.97,4.78,0.82,0.256,292,1
509,8.06,3.09,0.8,1.431,685,0
510,10.13,4.69,1.62,0.593,420,0
511,7.31,6.73,0.9,0.402,330,1
512,8.35,8.11,0.91,0.624,465,0
513,5.57,3.32,0.54,-0.023,262,1
514,9.85,4.6,1.18,0.526,398,1
515,9.16,-1.67,1.78,1.045,575,0
516,9.03,3.63,1.27,1.349,660,0
517,10.07,5.95,1.54,0.59,366,0
518,9.76,2.9,1.34,1.39,833,0
519,9.35,3.91,1.56,0.41,333,0
520,10.95,13.26,2.41,1.008,654,0
521,8.87,6.15,1.06,0.426,420,0
522,6.68,5.13,0.79,0.986,596,0
523,9.69,10.02,3.4,0.578,398,1
524,8.05,4.21,1.09,0.112,2,0
525,10.3,2.04,1.67,0.506,366,0
526,6.07,73.0,0.75,0.752,651,0
527,8.51,4.0,1.09,1.107,609,0
528,7.71,5.02,0.87,1.038,575,0
529,8.56,5.61,1.12,0.548,416,0
530,8.26,2.44,0.98,1.233,609,0
531,8.62,2.41,1.12,0.148,253,1
532,9.83,2.3,10.4,0.587,473,0
533,9.84,9.89,1.59,0.69,445,1
534,9.74,4.82,1.5,0.494,420,0
535,8.21,9.08,1.09,0.574,420,0
536,8.72,6.36,0.97,0.41,362,0
537,8.03,1.65,0.76,1.631,755,0
538,9.0,0.55,1.1,-0.09,366,0
539,6.19,25.6,0.75,0.386,330,1
540,8.22,3.69,1.0,0.951,507,0
541,7.93,4.96,0.97,1.107,609,0
542,10.18,0.77,1.61,0.58,382,1
543,8.98,6.64,1.23,0.567,420,0
544,9.13,1.34,1.33,1.125,609,0
545,6.91,3.69,0.8,1.123,633,0
546,8.79,1.16,1.17,1.234,719,0
547,8.23,18.7,1.05,0.58,445,1
548,10.24,3.82,3.43,0.402,324,0
549,8.83,2.0,1.14,1.114,507,0
550,7.62,3.73,0.94,0.955,575,0
551,8.96,4.04,1.13,0.446,352,1
552,10.41,2.89,1.9,0.51,238,1
553,8.97,3.75,1.18,0.05,0,0
554,9.61,15.97,1.47,0.761,507,0
555,8.29,8.4,0.93,0.387,292,1
556,8.3,0.43,1.15,1.552,770,0
557,8.26,4.01,1.06,0.494,366,0
558,7.44,7.12,0.92,0.203,80,1
559,9.52,4.4,1.07,0.19,15,1
560,8.2,4.41,0.71,0.295,55,1
561,8.68,7.89,2.34,0.529,382,1
562,8.65,4.33,1.16,0.061,30,1
563,10.52,6.74,2.27,0.512,445,1
564,8.41,5.14,1.01,0.405,354,0
565,9.18,5.85,1.26,0.333,317,1
566,8.42,4.84,0.88,0.345,55,1
567,8.86,3.28,1.1,1.552,823,0
568,7.92,4.03,0.9,1.054,609,0
569,8.85,4.19,1.28,0.323,55,1
570,9.31,6.51,1.2,0.226,137,1
571,10.28,6.34,2.0,0.503,354,1
572,7.56,11.92,0.61,0.419,377,0
573,7.88,4.23,0.74,0.407,317,1
574,7.99,3.54,1.0,1.441,609,0
575,8.23,17.19,1.0,0.599,424,0
576,8.52,2.2,1.24,1.084,668,0
577,9.14,17.98,2.35,0.74,507,1
578,6.2,6.24,0.85,0.133,46,1
579,7.64,5.87,1.72,0.493,366,0
580,8.95,8.23,1.18,0.653,445,1
581,7.48,2.87,0.87,1.532,745,0
582,7.06,20.62,0.91,0.463,382,1
583,7.33,9.37,0.84,1.011,677,0
584,8.98,1.52,2.42,0.739,507,0
585,8.24,7.19,1.22,0.271,97,0
586,8.53,7.21,1.14,0.909,651,0
587,8.4,2.19,0.77,1.014,575,0
588,7.48,7.51,0.77,0.466,378,0
589,8.46,1.63,1.06,1.59,609,0
590,9.29,2.41,1.07,1.01,609,0
591,8.57,5.48,0.94,0.249,80,1
592,8.7,30.77,1.21,0.798,651,0
593,8.5,10.08,0.93,0.451,366,0
594,8.37,8.86,1.46,0.595,416,0
595,6.87,6.05,0.77,1.124,507,0
596,7.5,2.5,0.69,1.703,784,0
597,7.39,2.53,0.57,-0.018,266,1
598,8.19,8.21,0.99,0.584,424,0
599,7.56,2.74,1.26,0.9,507,0
600,8.37,9.73,1.0,0.379,292,1
601,7.39,5.37,0.8,1.008,609,0
602,6.73,10.14,0.73,0.951,507,0
603,8.66,2.38,0.88,0.79,496,0
604,8.25,2.89,1.06,0.17,2,0
605,8.47,3.33,1.15,0.953,507,0
606,8.01,9.58,0.89,0.456,366,0
607,6.83,7.84,0.65,1.158,658,0
608,9.06,1.6,1.32,1.074,799,0
609,8.79,4.21,1.16,1.127,698,0
610,7.44,7.19,0.92,0.478,366,0
611,6.43,6.69,0.92,-0.146,246,1
612,5.93,12.45,0.74,0.141,30,1
613,8.85,4.31,1.43,1.196,609,0
614,9.86,4.43,1.32,0.244,39,1
615,8.55,7.06,1.33,0.964,507,0
616,7.66,5.76,0.78,0.181,55,1
617,7.82,21.83,0.84,0.61,445,1
618,9.08,11.55,1.4,0.595,445,1
619,10.1,5.57,1.58,0.57,420,0
620,8.21,3.5,1.11,1.087,614,0
621,8.85,7.79,2.24,0.631,493,0
622,7.79,1.17,0.67,1.45,719,0
623,7.58,3.64,0.94,1.271,677,0
624,7.85,10.66,0.99,0.505,382,0
625,7.18,8.95,0.6,0.156,65,1
626,7.54,3.83,0.93,0.408,317,1
627,9.72,6.43,1.39,0.434,344,1
628,7.12,8.19,0.74,0.184,80,1
629,9.77,6.67,1.5,0.306,115,1
630,8.84,4.37,1.17,1.042,633,0
