,Vmag,Plx,e_Plx,B-V,SpType
89,8.67,7.85,1.17,0.513,382
90,10.46,19.83,5.16,1.36,771
91,9.87,6.49,1.44,0.551,390
92,9.48,5.52,1.74,0.53,382
93,7.04,1.27,0.7,2.835,285
94,8.44,4.49,1.08,0.898,445
95,9.88,7.35,1.74,0.509,378
96,7.05,3.0,0.82,1.55,784
97,8.29,9.15,0.76,0.538,398
98,9.34,8.16,1.21,0.543,416
99,7.73,4.44,0.75,0.455,292
100,6.22,4.5,0.73,0.97,558
101,5.53,5.84,0.61,1.615,798
102,8.53,0.3,0.86,1.315,718
103,7.23,5.33,0.94,0.388,292
104,8.61,20.42,1.91,0.787,507
105,11.28,27.11,2.33,1.308,791
106,10.76,31.35,4.17,1.384,781
107,8.93,0.27,1.09,0.021,2
108,7.95,9.93,1.95,0.654,451
109,7.46,4.73,0.67,0.16,45
110,8.6,8.29,0.97,0.435,354
111,8.55,0.36,0.87,1.093,575
112,9.2,12.08,1.33,0.606,445
113,6.82,7.49,0.83,1.071,609
114,8.29,2.83,1.09,1.183,675
115,6.83,3.66,0.83,1.197,698
116,4.78,14.77,0.47,1.254,698
117,7.21,5.07,0.7,1.169,609
118,5.58,0.86,0.56,0.407,301
119,8.7,5.08,1.06,0.366,333
120,8.06,2.94,0.95,0.969,507
121,6.5,15.2,0.63,0.182,140
122,9.32,6.6,1.3,0.559,420
123,9.14,2.93,1.38,1.08,633
124,8.13,8.11,0.83,0.2,75
125,10.62,1.89,1.91,0.358,292
126,6.62,3.51,0.79,0.545,376
127,9.96,1.3,1.71,0.264,2
128,8.64,20.1,1.22,0.62,507
129,6.6,5.84,0.78,1.153,699
130,6.25,2.45,0.69,-0.042,264
131,7.83,6.34,1.89,1.074,618
132,10.03,1.62,1.45,1.289,147
133,9.04,8.98,0.93,0.546,416
134,8.47,5.61,1.1,1.35,738
135,7.33,16.04,0.69,0.73,609
136,8.66,3.57,0.75,1.364,738
137,10.35,20.05,1.64,1.033,712
138,5.13,7.98,0.71,-0.128,232
139,8.96,4.39,1.29,0.306,137
140,8.49,-0.13,1.19,1.569,738
141,11.26,22.92,2.17,0.932,712
142,8.15,4.22,0.96,0.584,420
143,7.04,7.5,0.84,1.06,668
144,10.02,5.1,1.42,0.456,366
145,8.9,5.54,1.23,0.459,420
146,7.78,7.56,1.37,0.411,351
147,4.37,7.86,0.94,1.631,811
148,9.93,2.28,1.39,0.283,39
149,8.6,3.09,0.84,0.1,251
150,8.51,6.87,1.28,0.903,507
151,7.09,7.03,0.89,0.999,633
152,6.93,16.92,0.81,0.292,55
153,8.68,2.07,0.8,-0.052,272
154,8.98,2.38,1.09,1.5,738
155,9.84,2.71,1.33,0.696,445
156,8.98,2.92,1.26,0.107,65
157,7.98,4.41,0.82,0.97,596
158,10.16,-0.59,1.74,0.45,143
159,8.86,9.46,1.18,0.66,500
160,8.58,3.5,0.9,0.06,253
161,9.56,1.95,1.34,1.113,856
162,9.24,63.03,1.98,1.39,777
163,9.63,5.96,2.02,0.509,382
164,5.8,80.63,3.03,0.69,500
165,9.05,1.27,1.11,0.976,849
166,8.45,1.31,1.03,0.248,39
167,8.86,3.89,1.83,1.035,595
168,7.84,3.98,0.87,0.923,507
169,8.86,3.82,1.07,0.53,609
170,8.93,5.47,1.25,0.172,35
171,7.97,9.02,2.5,0.556,416
172,6.9,14.91,0.9,0.534,455
173,8.47,2.8,1.12,1.171,609
174,6.77,2.51,0.64,1.832,771
175,8.55,3.32,1.16,1.004,609
176,5.04,6.4,0.87,-0.15,208
177,8.48,29.75,1.21,0.888,609
178,8.53,11.74,1.8,0.53,420
179,6.33,7.55,0.82,0.182,99
180,8.99,6.69,1.38,0.5,445
181,8.64,10.49,1.23,0.488,366
182,9.55,2.49,1.41,0.237,55
183,8.74,10.47,1.17,0.57,445
184,12.43,22.98,4.38,1.49,808
185,8.16,3.31,1.11,1.032,507
186,9.46,4.77,1.47,0.944,561
187,5.7,26.53,0.77,0.315,310
188,7.62,8.08,1.0,0.517,420
189,8.95,0.98,1.18,1.677,738
190,8.97,1.62,1.16,0.952,609
191,8.94,5.12,1.11,0.276,2
192,7.24,4.07,0.88,0.074,2
193,10.32,3.17,1.67,0.323,317
194,8.24,10.06,0.99,0.474,366
195,8.62,2.6,1.1,0.303,292
196,9.18,2.16,1.59,0.981,633
197,8.53,2.53,1.0,1.274,719
198,8.54,8.84,1.25,0.384,317
199,8.56,9.32,1.02,0.436,445
200,9.41,2.46,1.07,0.967,538
201,5.87,1.57,1.67,1.073,575
202,7.2,-0.69,9.62,0.085,47
203,9.05,7.65,1.93,0.47,445
204,9.52,3.88,1.36,0.832,560
205,7.7,7.8,0.95,1.003,507
206,8.17,3.36,0.99,0.29,55
207,7.29,2.73,0.63,0.118,2
208,9.26,3.49,0.94,1.8,791
209,7.94,3.21,0.89,0.016,2
210,8.42,4.14,1.05,1.005,575
211,8.56,10.78,1.28,0.602,420
212,7.52,6.27,0.81,0.18,2
213,7.74,7.68,1.11,0.483,317
214,8.85,2.62,1.16,1.113,668
215,9.01,1.25,1.47,1.01,609
216,7.17,21.58,1.65,0.617,445
217,9.04,7.23,1.56,0.489,344
218,10.3,0.63,1.67,0.254,297
219,7.64,9.53,0.87,0.532,420
220,8.27,2.16,2.57,0.128,2
221,8.44,8.62,1.31,0.423,317
222,9.58,4.59,1.21,0.5,388
223,8.43,5.18,1.11,0.007,15
224,8.49,2.5,1.03,1.18,609
225,9.64,2.91,1.08,0.31,238
226,9.17,2.6,1.31,1.222,609
227,8.09,2.96,1.08,1.26,609
228,9.0,6.32,1.32,0.903,586
229,6.25,16.16,0.96,0.526,390
230,8.56,4.77,1.27,0.521,366
231,10.81,3.36,2.03,0.565,420
232,8.76,2.37,1.28,1.01,609
233,7.76,7.41,0.93,0.967,586
234,7.82,4.11,0.8,1.041,633
235,7.9,3.49,0.74,0.668,420
236,8.52,3.31,1.13,1.036,507
237,9.73,18.29,1.56,0.99,712
238,9.19,6.08,1.68,0.346,292
239,8.1,9.03,1.17,0.342,292
240,8.75,13.24,1.03,0.552,420
241,8.14,5.19,1.99,0.88,609
242,8.65,-0.53,1.21,1.349,698
243,10.3,-0.95,2.86,1.082,611
244,6.46,6.78,0.88,1.176,668
245,6.73,5.96,0.76,0.051,39
246,7.96,11.84,1.16,0.421,324
247,9.53,4.73,1.44,0.461,292
248,8.87,3.15,1.18,0.081,15
249,6.59,6.28,0.78,1.122,609
250,8.65,0.54,1.23,1.455,771
251,9.64,6.1,1.44,0.432,333
252,9.15,8.21,2.41,0.424,354
253,9.04,4.31,1.25,0.422,310
254,12.04,32.93,3.49,1.473,780
255,8.42,3.69,0.9,1.174,609
256,8.09,3.38,1.13,1.125,674
257,9.06,1.06,0.94,1.688,747
258,8.09,11.66,1.42,0.455,317
259,8.18,0.24,1.01,1.462,738
260,8.77,3.82,1.02,1.125,507
261,7.36,4.7,0.63,0.146,39
262,9.16,4.81,1.11,0.232,44
263,8.82,1.39,1.31,0.979,561
264,11.14,1.86,2.09,0.041,15
265,6.24,0.93,0.57,0.332,201
266,9.44,5.68,4.61,0.439,354
267,7.49,15.55,0.95,0.636,445
268,6.96,15.84,0.81,0.353,333
269,7.94,2.79,0.95,-0.023,191
270,8.69,0.81,0.87,0.12,251
271,8.15,4.83,0.97,0.134,39
272,8.45,2.88,1.1,1.655,771
273,7.92,1.62,0.97,1.408,609
274,7.45,4.99,0.99,0.353,80
275,9.01,2.11,1.04,0.956,575
276,8.55,1.38,1.06,1.212,679
277,9.23,0.11,0.93,1.006,609
278,9.16,1.19,1.4,1.538,738
279,7.9,5.49,0.97,1.071,609
280,8.68,3.48,1.17,1.011,633
281,7.78,15.26,1.03,0.563,424
282,8.21,1.46,1.04,-0.123,143
283,8.11,2.92,0.79,-0.019,2
284,8.29,13.14,0.97,0.488,398
285,7.89,8.63,1.11,0.401,292
286,9.67,2.83,1.45,0.397,310
287,8.24,25.29,1.11,0.78,591
288,6.8,6.42,0.75,0.06,39
289,8.18,2.81,1.03,1.015,609
290,8.44,9.67,0.86,0.508,382
291,4.55,14.31,0.92,-0.047,270
292,7.45,6.04,0.85,0.244,55
293,6.31,3.31,0.6,1.629,815
294,8.15,5.15,0.98,0.316,140
295,8.27,6.16,1.0,0.136,39
296,7.66,20.44,0.96,0.741,526
297,8.59,14.36,2.44,0.616,479
298,11.55,16.27,2.71,1.26,771
299,7.09,13.9,0.84,0.303,292
300,8.54,4.59,1.04,0.23,106
301,9.58,12.24,1.44,0.7,530
302,8.44,6.36,0.9,0.456,292
303,8.59,-0.56,0.85,0.36,159
304,8.01,10.62,1.46,0.406,344
305,8.29,5.58,1.02,0.54,445
306,9.62,6.67,0.97,0.657,431
307,7.26,5.48,1.25,0.355,292
308,7.91,5.53,0.62,0.314,303
309,9.45,2.07,1.37,1.115,565
310,8.19,1.2,0.84,0.26,851
311,8.93,9.88,1.18,0.607,473
312,7.65,3.93,0.97,0.992,586
313,8.53,8.18,1.0,0.491,366
314,7.38,6.15,0.89,1.003,609
315,8.56,14.48,1.07,0.615,420
316,8.76,0.82,1.22,1.692,771
317,9.56,2.04,1.28,0.39,39
318,7.09,4.24,0.92,-0.085,251
319,9.83,9.2,1.5,0.699,507
320,5.9,0.89,0.58,0.274,25
321,10.8,1.88,2.21,0.882,606
322,8.41,6.58,0.94,0.563,398
323,9.05,5.54,1.44,0.16,24
324,8.79,0.07,0.98,0.08,147
325,8.88,5.57,1.09,0.253,2
326,7.59,1.47,0.77,1.68,738
327,9.6,11.87,1.49,0.75,507
328,10.66,-1.21,1.79,1.45,145
329,8.55,4.12,0.84,0.037,30
330,8.11,14.91,1.01,0.484,398
331,9.44,0.58,1.57,1.069,586
332,9.6,7.92,1.55,0.549,455
333,5.78,11.29,0.92,1.084,633
334,10.66,6.82,2.4,1.5,828
335,6.38,7.75,0.91,0.006,30
336,8.8,5.27,1.12,1.031,668
337,7.79,2.46,0.85,-0.089,204
338,8.6,16.79,1.13,0.64,507
339,7.77,4.1,1.06,-0.058,240
340,9.8,22.52,1.48,0.855,651
341,9.22,3.01,1.4,1.001,609
342,4.99,2.03,0.93,1.619,726
343,8.43,9.89,1.1,0.611,445
344,7.33,10.92,0.64,0.444,333
345,8.93,0.95,0.79,1.025,575
346,9.09,17.09,0.88,0.639,488
347,9.26,4.67,0.93,1.162,685
348,8.73,3.4,0.93,1.036,633
349,9.18,-0.43,1.49,1.169,698
350,8.12,2.15,1.05,2.53,284
351,9.26,1.99,1.57,1.149,633
352,8.94,1.59,1.32,1.181,677
353,6.11,1.94,1.12,0.159,262
354,9.13,1.38,0.79,0.239,41
355,7.9,4.83,1.03,1.249,685
356,9.34,1.26,1.47,0.95,609
357,7.13,2.46,0.81,1.26,668
358,10.82,0.81,2.56,1.021,823
359,7.46,4.15,0.66,1.072,614
360,8.72,1.39,1.34,1.508,685
361,7.02,6.13,1.59,1.1,609
362,8.37,4.04,1.18,0.881,609
363,5.59,5.7,0.53,-0.1,242
364,7.37,11.46,0.84,0.422,376
365,5.68,10.3,0.58,1.051,668
366,8.56,7.35,1.12,0.792,507
367,8.72,2.46,1.14,-0.014,39
368,9.06,4.16,1.2,0.368,310
369,8.82,4.08,1.2,0.433,292
370,8.18,5.84,1.2,0.376,80
371,9.39,9.37,2.81,0.735,507
372,9.1,-0.59,1.02,0.652,182
373,8.46,1.61,0.92,0.556,317
374,9.15,5.46,1.38,0.394,55
375,8.28,5.65,1.16,0.002,8
376,8.18,6.95,1.91,0.43,445
377,7.93,10.47,1.53,0.478,366
378,9.21,3.05,1.34,0.964,609
379,6.09,27.18,4.3,0.632,479
380,8.31,3.15,1.1,0.036,9
381,7.83,2.91,0.97,1.256,698
382,8.72,3.73,1.1,0.082,2
383,6.61,2.13,0.82,0.025,204
384,6.25,5.34,0.77,1.368,736
385,7.82,39.06,0.93,0.755,600
386,8.66,3.49,1.2,1.614,738
387,8.15,6.02,0.81,0.475,366
388,8.97,11.56,1.31,0.674,500
389,8.15,1.55,1.04,1.201,685
390,7.47,14.53,1.21,0.55,431
391,8.63,1.67,1.1,1.57,771
392,8.13,22.09,0.71,0.71,530
393,8.23,4.41,1.1,0.986,596
394,8.41,8.49,0.77,0.461,382
395,6.47,7.63,0.76,0.946,571
396,9.83,-0.99,1.46,1.54,738
397,8.64,6.19,1.54,1.3,366
398,7.73,19.78,0.87,0.537,455
399,8.64,1.96,0.95,0.889,549
400,8.94,8.38,1.24,0.415,317
401,8.84,8.73,1.17,0.759,507
402,6.32,6.95,0.81,1.099,598
403,5.8,4.5,0.56,-0.067,250
404,8.97,5.12,1.34,0.86,568
405,7.53,23.9,0.85,0.577,455
406,7.41,2.53,0.69,1.288,609
407,7.8,5.43,1.9,0.437,292
408,8.14,14.25,0.83,0.593,455
409,6.71,6.66,0.75,0.068,31
410,8.73,1.42,1.2,1.124,668
411,9.37,6.64,8.01,0.51,292
412,8.69,11.12,1.22,0.644,507
413,9.95,86.98,1.41,1.472,791
414,7.1,6.27,0.87,1.128,668
415,8.09,2.45,0.9,0.496,366
416,6.88,10.35,0.81,0.174,39
417,9.48,-0.08,1.69,1.037,685
418,9.04,1.4,1.32,0.692,333
419,9.3,10.28,1.33,0.538,344
420,8.49,62.48,0.82,1.076,752
421,8.3,3.18,1.04,0.998,507
422,7.95,2.21,1.04,0.991,507
423,7.08,5.31,0.63,-0.006,253
424,6.93,4.29,0.83,0.94,581
425,8.38,4.33,1.15,-0.06,272
426,4.61,25.38,1.05,1.029,668
427,8.56,229.33,1.08,1.462,804
428,8.78,1.29,1.02,1.156,698
429,7.42,9.55,0.76,0.191,32
430,8.26,1.69,1.27,1.052,506
431,7.71,5.05,0.64,1.093,633
432,6.91,6.75,1.03,1.12,507
433,9.16,9.89,1.18,0.782,586
434,8.99,3.3,1.34,1.199,758
435,8.63,4.55,0.99,0.46,445
436,9.9,2.61,1.46,0.599,420
437,7.59,4.65,0.92,1.045,609
438,7.39,4.76,0.99,0.99,633
439,7.78,4.79,0.99,1.123,633
440,7.47,2.01,0.96,1.62,811
441,6.97,3.07,0.93,1.444,738
442,8.82,18.57,0.95,0.666,530
443,9.13,22.2,1.14,0.735,507
444,7.86,11.04,0.91,0.494,420
445,7.13,19.81,0.94,0.446,366
446,9.45,-1.03,1.35,0.995,581
447,12.04,0.75,22.3,0.501,2
448,8.78,3.94,1.45,1.249,685
449,7.23,3.52,0.83,1.174,609
450,9.73,6.89,1.46,0.725,530
451,7.36,4.25,0.72,0.993,633
452,7.36,2.3,0.82,1.444,713
453,8.47,0.47,0.94,-0.18,164
454,9.37,2.52,1.1,1.537,738
455,6.99,4.25,0.78,1.187,633
456,8.2,85.1,2.74,1.41,685
457,8.36,7.0,1.01,0.247,2
458,8.22,21.03,1.06,0.636,445
459,5.55,8.75,0.8,0.901,518
460,9.91,5.59,1.7,0.353,128
461,9.67,2.19,1.68,0.524,344
462,8.6,1.87,1.29,1.1,668
463,10.07,1.32,1.52,0.923,507
464,10.15,7.28,1.45,0.677,507
465,7.75,5.95,1.68,0.414,318
466,9.21,4.01,0.94,0.097,2
467,9.66,-0.26,1.41,0.787,530
468,8.47,2.62,1.01,0.045,2
469,9.37,6.18,1.34,0.507,398
470,9.44,11.21,1.34,0.617,445
471,9.99,7.92,1.61,0.646,514
472,7.51,24.85,0.92,0.595,455
473,8.91,2.92,1.19,1.19,609
474,7.45,26.24,0.82,0.596,420
475,9.57,6.5,1.46,0.51,445
476,8.99,12.99,0.94,0.585,431
477,8.58,25.77,2.07,0.92,611
478,6.9,5.31,0.73,1.564,738
479,7.55,7.05,1.15,0.3,55
480,7.93,4.26,0.91,0.239,55
481,9.71,0.87,1.53,0.915,589
482,9.57,1.54,1.37,1.812,782
483,8.55,4.19,1.14,1.357,719
484,6.62,2.9,0.77,1.531,745
485,7.89,3.07,1.01,0.93,507
486,7.51,5.66,0.82,1.112,670
487,7.36,0.08,0.65,0.126,848
488,8.66,1.33,1.08,-0.039,39
489,8.51,1.8,0.83,1.576,719
490,6.65,3.28,0.85,0.912,507
491,9.67,13.05,1.67,0.633,500
492,7.8,11.07,1.0,0.501,366
493,8.21,5.34,1.01,1.108,507
494,7.9,4.39,0.96,-0.03,272
495,8.94,2.09,1.2,1.0,609
496,9.82,5.66,1.65,0.418,333
497,8.69,7.38,1.55,0.509,420
498,8.57,-0.16,1.12,1.612,784
499,8.89,5.95,1.14,0.476,378
500,5.98,49.3,1.05,0.687,530
501,7.92,5.38,1.67,0.459,349
502,7.6,2.35,1.15,1.539,770
503,8.22,4.71,1.03,1.22,685
504,5.7,39.0,0.64,0.519,463
505,12.17,56.92,2.73,1.55,815
506,8.75,7.24,1.32,0.487,390
507,6.93,8.6,0.73,1.086,609
508,7.97,4.78,0.82,0.256,292
509,8.06,3.09,0.8,1.431,685
510,10.13,4.69,1.62,0.593,420
511,7.31,6.73,0.9,0.402,330
512,8.35,8.11,0.91,0.624,465
513,5.57,3.32,0.54,-0.023,262
514,9.85,4.6,1.18,0.526,398
515,9.16,-1.67,1.78,1.045,575
516,9.03,3.63,1.27,1.349,660
517,10.07,5.95,1.54,0.59,366
518,9.76,2.9,1.34,1.39,833
519,9.35,3.91,1.56,0.41,333
520,10.95,13.26,2.41,1.008,654
521,8.87,6.15,1.06,0.426,420
522,6.68,5.13,0.79,0.986,596
523,9.69,10.02,3.4,0.578,398
524,8.05,4.21,1.09,0.112,2
525,10.3,2.04,1.67,0.506,366
526,6.07,72.98,0.75,0.752,651
527,8.51,4.0,1.09,1.107,609
528,7.71,5.02,0.87,1.038,575
529,8.56,5.61,1.12,0.548,416
530,8.26,2.44,0.98,1.233,609
531,8.62,2.41,1.12,0.148,253
532,9.83,2.3,10.4,0.587,473
533,9.84,9.89,1.59,0.69,445
534,9.74,4.82,1.5,0.494,420
535,8.21,9.08,1.09,0.574,420
536,8.72,6.36,0.97,0.41,362
537,8.03,1.65,0.76,1.631,755
538,9.0,0.55,1.1,-0.09,366
539,6.19,25.59,0.75,0.386,330
540,8.22,3.69,1.0,0.951,507
541,7.93,4.96,0.97,1.107,609
542,10.18,0.77,1.61,0.58,382
543,8.98,6.64,1.23,0.567,420
544,9.13,1.34,1.33,1.125,609
545,6.91,3.69,0.8,1.123,633
546,8.79,1.16,1.17,1.234,719
547,8.23,18.71,1.05,0.58,445
548,10.24,3.82,3.43,0.402,324
549,8.83,2.0,1.14,1.114,507
550,7.62,3.73,0.94,0.955,575
551,8.96,4.04,1.13,0.446,352
552,10.41,2.89,1.9,0.51,238
553,8.97,3.75,1.18,0.05,0
554,9.61,15.97,1.47,0.761,507
555,8.29,8.4,0.93,0.387,292
556,8.3,0.43,1.15,1.552,770
557,8.26,4.01,1.06,0.494,366
558,7.44,7.12,0.92,0.203,80
559,9.52,4.4,1.07,0.19,15
560,8.2,4.41,0.71,0.295,55
561,8.68,7.89,2.34,0.529,382
562,8.65,4.33,1.16,0.061,30
563,10.52,6.74,2.27,0.512,445
564,8.41,5.14,1.01,0.405,354
565,9.18,5.85,1.26,0.333,317
566,8.42,4.84,0.88,0.345,55
567,8.86,3.28,1.1,1.552,823
568,7.92,4.03,0.9,1.054,609
569,8.85,4.19,1.28,0.323,55
570,9.31,6.51,1.2,0.226,137
571,10.28,6.34,2.0,0.503,354
572,7.56,11.92,0.61,0.419,377
573,7.88,4.23,0.74,0.407,317
574,7.99,3.54,1.0,1.441,609
575,8.23,17.18,1.0,0.599,424
576,8.52,2.2,1.24,1.084,668
577,9.14,17.98,2.35,0.74,507
578,6.2,6.24,0.85,0.133,46
579,7.64,5.87,1.72,0.493,366
580,8.95,8.23,1.18,0.653,445
581,7.48,2.87,0.87,1.532,745
582,7.06,20.63,0.91,0.463,382
583,7.33,9.37,0.84,1.011,677
584,8.98,1.52,2.42,0.739,507
585,8.24,7.19,1.22,0.271,97
586,8.53,7.21,1.14,0.909,651
587,8.4,2.19,0.77,1.014,575
588,7.48,7.51,0.77,0.466,378
589,8.46,1.63,1.06,1.59,609
590,9.29,2.41,1.07,1.01,609
591,8.57,5.48,0.94,0.249,80
592,8.7,30.76,1.21,0.798,651
593,8.5,10.08,0.93,0.451,366
594,8.37,8.86,1.46,0.595,416
595,6.87,6.05,0.77,1.124,507
596,7.5,2.5,0.69,1.703,784
597,7.39,2.53,0.57,-0.018,266
598,8.19,8.21,0.99,0.584,424
599,7.56,2.74,1.26,0.9,507
600,8.37,9.73,1.0,0.379,292
601,7.39,5.37,0.8,1.008,609
602,6.73,10.14,0.73,0.951,507
603,8.66,2.38,0.88,0.79,496
604,8.25,2.89,1.06,0.17,2
605,8.47,3.33,1.15,0.953,507
606,8.01,9.58,0.89,0.456,366
607,6.83,7.84,0.65,1.158,658
608,9.06,1.6,1.32,1.074,799
609,8.79,4.21,1.16,1.127,698
610,7.44,7.19,0.92,0.478,366
611,6.43,6.69,0.92,-0.146,246
612,5.93,12.45,0.74,0.141,30
613,8.85,4.31,1.43,1.196,609
614,9.86,4.43,1.32,0.244,39
615,8.55,7.06,1.33,0.964,507
616,7.66,5.76,0.78,0.181,55
617,7.82,21.83,0.84,0.61,445
618,9.08,11.55,1.4,0.595,445
619,10.1,5.57,1.58,0.57,420
620,8.21,3.5,1.11,1.087,614
621,8.85,7.79,2.24,0.631,493
622,7.79,1.17,0.67,1.45,719
623,7.58,3.64,0.94,1.271,677
624,7.85,10.66,0.99,0.505,382
625,7.18,8.95,0.6,0.156,65
626,7.54,3.83,0.93,0.408,317
627,9.72,6.43,1.39,0.434,344
628,7.12,8.19,0.74,0.184,80
629,9.77,6.67,1.5,0.306,115
630,8.84,4.37,1.17,1.042,633
631,5.67,10.02,0.71,1.119,668
632,8.15,9.77,0.98,0.617,420
633,9.61,3.92,1.34,0.961,507
634,8.19,3.44,1.16,1.079,507
635,7.27,4.9,0.76,0.207,55
636,8.51,3.26,0.84,0.215,2
637,8.36,2.42,0.93,1.113,674
638,10.0,4.93,1.47,0.55,445
639,8.74,1.92,0.83,1.227,698
640,6.18,3.25,0.96,1.366,698
641,10.26,7.53,1.63,0.73,445
642,10.16,5.68,2.36,0.393,382
643,8.31,4.08,1.06,1.053,609
644,8.58,3.46,0.97,0.915,507
645,7.04,36.18,1.02,0.624,473
646,8.81,3.75,1.19,0.31,39
647,5.99,9.79,0.92,1.034,582
648,8.22,3.5,1.43,1.064,668
649,9.86,7.73,3.35,0.789,651
650,8.0,2.84,1.05,1.193,507
651,9.4,10.7,1.27,0.57,445
652,9.1,3.83,1.17,1.169,677
653,2.07,33.6,0.73,-0.038,275
654,8.11,2.18,0.95,0.098,2
655,8.89,2.8,1.1,1.179,668
656,9.43,1.52,1.51,0.47,333
657,7.59,25.15,0.97,0.626,479
658,8.72,2.88,1.35,0.071,2
659,9.86,2.3,1.46,0.157,61
660,9.23,0.65,1.34,0.988,633
661,9.5,5.59,1.5,0.493,603
662,10.73,45.64,1.92,1.46,771
663,7.59,7.6,0.89,0.508,344
664,7.41,12.72,0.86,0.606,420
665,9.26,11.01,0.95,0.675,491
666,7.78,14.43,0.96,0.358,366
667,7.76,2.77,1.26,1.618,685
668,8.94,9.47,1.13,0.419,366
669,8.95,2.3,1.37,0.435,317
670,6.41,2.17,0.63,0.998,494
671,6.11,2.42,0.79,1.664,774
672,7.76,8.84,0.94,0.415,317
673,7.38,2.89,0.71,1.326,719
674,6.21,30.26,0.69,0.504,427
675,7.05,5.97,1.04,0.963,507
676,7.44,6.36,0.66,-0.006,2
677,8.5,5.07,1.56,0.406,329
678,7.84,5.19,0.91,1.125,609
679,7.88,5.03,0.85,0.473,354
680,9.1,3.19,0.96,1.113,633
681,8.65,6.86,1.05,0.471,354
682,8.41,16.24,0.7,0.588,479
683,7.81,8.58,0.86,0.481,376
684,7.43,11.61,1.01,0.296,292
685,8.76,0.97,1.18,0.965,507
686,7.58,4.72,0.82,0.994,507
687,9.55,4.78,1.13,0.473,382
688,6.82,3.19,0.76,1.568,738
689,10.24,1.8,1.68,0.46,292
690,6.24,7.78,0.81,0.976,633
691,7.31,1.36,1.53,1.43,685
692,10.52,3.4,1.82,0.51,366
693,9.27,0.25,1.21,1.146,668
694,7.13,3.16,0.96,1.64,798
